Time[ms],BATT[V],5V[V],RADIO[V],PT1[psi],PT2[psi],PT3[psi],PT4[psi],PT5[psi],PT6[psi],LC[lbf],C1,C2,FILL,VENT,MOV,ARM,PY1,PY2
208996,8.13,5.06,3.32,541.88,9.75,2.52,14.65,0.00,0.00,-18.08,0,0,0,0,1,1,0,0
209085,8.13,5.05,3.31,541.88,7.21,0.06,19.70,0.00,0.00,-18.07,0,0,0,0,1,1,0,0
209174,8.11,5.07,3.32,541.88,4.67,0.06,4.55,0.00,0.00,-18.04,0,0,0,0,1,1,0,0
209263,8.11,5.05,3.32,541.88,9.75,2.52,14.65,0.00,0.00,-18.02,0,0,0,0,1,1,0,0
209352,8.09,5.06,3.31,541.88,7.21,0.06,4.55,0.00,0.00,-18.02,0,0,0,0,1,1,0,0
209441,8.08,5.04,3.31,541.88,7.21,2.52,9.60,0.00,0.00,-18.00,0,0,0,0,1,1,0,0
209530,8.11,5.07,3.32,541.88,7.21,0.06,9.60,0.00,0.00,-17.96,0,0,0,0,1,1,0,0
209619,8.11,5.04,3.31,539.34,7.21,0.06,2.03,0.00,0.00,-17.93,0,0,0,0,1,1,0,0
209708,8.13,5.07,3.32,544.42,9.75,2.52,17.18,0.00,0.00,-17.90,0,0,0,0,1,1,0,0
209796,8.11,5.04,3.31,541.88,9.75,2.52,19.70,0.00,0.00,-17.89,0,0,0,0,1,1,0,0
209885,8.13,5.07,3.32,541.88,7.21,0.06,9.60,0.00,0.00,-17.85,0,0,0,0,1,1,0,0
209974,8.13,5.04,3.31,541.88,7.21,2.52,12.13,0.00,0.00,-17.82,0,0,0,0,1,1,0,0
210063,8.13,5.06,3.31,539.34,9.75,2.52,17.18,0.00,0.00,-17.79,0,0,0,0,1,1,0,0
210152,8.11,5.06,3.31,544.42,9.75,4.99,14.65,0.00,0.00,-17.75,0,0,0,0,1,1,0,0
210241,8.08,5.06,3.32,544.42,4.67,-2.40,4.55,0.00,0.00,-17.72,0,0,0,0,1,1,0,0
210330,8.09,5.06,3.31,541.88,7.21,0.06,4.55,0.00,0.00,-17.72,0,0,0,0,1,1,0,0
210419,8.13,5.06,3.32,541.88,7.21,2.52,12.13,0.00,0.00,-17.70,0,0,0,0,1,1,0,0
210508,8.11,5.06,3.31,541.88,7.21,4.99,9.60,0.00,0.00,-17.67,0,0,0,0,1,1,0,0
210597,8.13,5.06,3.32,541.88,7.21,0.06,9.60,0.00,0.00,-17.65,0,0,0,0,1,1,0,0
210607,8.11,5.04,3.31,544.42,9.75,2.52,14.65,0.00,0.00,-17.65,0,0,0,0,1,1,0,0
210686,8.11,5.07,3.31,541.88,7.21,0.06,12.13,0.00,0.00,-17.62,0,0,0,0,1,1,0,0
210774,8.11,5.06,3.30,541.88,7.21,0.06,9.60,0.00,0.00,-17.59,0,0,0,0,1,1,0,0
210863,8.13,5.06,3.31,541.88,7.21,2.52,12.13,0.00,0.00,-17.54,0,0,0,0,1,1,0,0
210952,8.08,5.07,3.30,546.95,7.21,2.52,12.13,0.00,0.00,-17.49,0,0,0,0,1,1,0,0
211041,8.11,5.06,3.32,544.42,9.75,2.52,12.13,0.00,0.00,-17.46,0,0,0,0,1,1,0,0
211130,8.09,5.07,3.32,541.88,7.21,2.52,9.60,0.00,0.00,-17.44,0,0,0,0,1,1,0,0
211219,8.09,5.04,3.31,541.88,7.21,0.06,7.08,0.00,0.00,-17.41,0,0,0,0,1,1,0,0
211308,8.11,5.07,3.31,541.88,7.21,0.06,7.08,0.00,0.00,-17.38,0,0,0,0,1,1,0,0
211397,8.11,5.04,3.32,544.42,9.75,2.52,17.18,0.00,0.00,-17.34,0,0,0,0,1,1,0,0
211486,8.09,5.06,3.31,544.42,7.21,2.52,12.13,0.00,0.00,-17.32,0,0,0,0,1,1,0,0
211575,8.15,5.05,3.31,541.88,7.21,2.52,4.55,0.00,0.00,-17.29,0,0,0,0,0,1,0,0
211664,8.08,5.04,3.32,544.42,9.75,2.52,14.65,0.00,0.00,-17.26,0,0,0,0,0,1,0,0
211752,8.08,5.06,3.30,541.88,7.21,0.06,-0.50,0.00,0.00,-17.21,0,0,0,0,0,1,0,0
211841,8.11,5.03,3.31,541.88,7.21,2.52,12.13,0.00,0.00,-17.18,0,0,0,0,0,1,0,0
211930,8.06,5.06,3.30,541.88,7.21,0.06,12.13,0.00,0.00,-17.14,0,0,0,0,0,1,0,0
212019,8.15,5.04,3.31,541.88,7.21,-2.40,17.18,0.00,0.00,-17.10,0,0,0,0,0,1,0,0
212108,8.13,5.11,3.30,544.42,7.21,0.06,12.13,0.00,0.00,-17.06,0,0,0,0,0,1,0,0
212197,8.13,5.10,3.31,541.88,4.67,-2.40,2.03,0.00,0.00,-17.04,0,0,0,0,0,1,0,0
212286,8.09,5.05,3.31,541.88,4.67,-2.40,-0.50,0.00,0.00,-17.00,0,0,0,0,0,1,0,0
212375,8.16,5.06,3.31,541.88,9.75,2.52,7.08,0.00,0.00,-16.96,0,0,0,0,0,1,0,0
212464,8.13,5.06,3.32,544.42,9.75,2.52,12.13,0.00,0.00,-16.93,0,0,0,0,0,1,0,0
212553,8.13,5.07,3.32,541.88,7.21,0.06,9.60,0.00,0.00,-16.89,0,0,0,0,0,1,0,0
212642,8.13,5.05,3.31,541.88,7.21,2.52,12.13,0.00,0.00,-16.84,0,0,0,0,0,1,0,0
212730,8.15,5.07,3.32,541.88,9.75,2.52,9.60,0.00,0.00,-16.83,0,0,0,0,0,1,0,0
212819,8.13,5.06,3.32,541.88,4.67,-2.40,2.03,0.00,0.00,-16.81,0,0,0,0,0,1,0,0
212908,8.11,5.06,3.30,541.88,7.21,0.06,24.75,0.00,0.00,-16.76,0,0,0,0,0,1,0,0
212997,8.13,5.06,3.32,541.88,7.21,2.52,9.60,0.00,0.00,-16.71,0,0,0,0,0,1,0,0
213086,8.13,5.06,3.30,541.88,7.21,-2.40,2.03,0.00,0.00,-16.68,0,0,0,0,0,1,0,0
213175,8.11,5.05,3.31,541.88,9.75,2.52,24.75,0.00,0.00,-16.64,0,0,0,0,0,1,0,0
213264,8.13,5.08,3.30,541.88,9.75,2.52,12.13,0.00,0.00,-16.61,0,0,0,0,0,1,0,0
213353,8.13,5.05,3.32,544.42,7.21,0.06,9.60,0.00,0.00,-16.58,0,0,0,0,0,1,0,0
213442,8.08,5.06,3.31,544.42,7.21,0.06,7.08,0.00,0.00,-16.54,0,0,0,0,0,1,0,0
213531,8.15,5.05,3.31,541.88,9.75,2.52,19.70,0.00,0.00,-16.50,0,0,0,0,0,1,0,0
213620,8.09,5.06,3.31,544.42,4.67,-2.40,4.55,0.00,0.00,-16.45,0,0,0,0,0,1,0,0
213709,8.15,5.06,3.32,544.42,7.21,-2.40,2.03,0.00,0.00,-16.42,0,0,0,0,0,1,0,0
213797,8.11,5.05,3.31,541.88,2.13,-4.87,2.03,0.00,0.00,-16.37,0,0,0,0,0,1,0,0
213886,8.11,5.06,3.32,544.42,7.21,0.06,17.18,0.00,0.00,-16.34,0,0,0,1,0,1,0,0
213975,8.09,5.04,3.32,541.88,9.75,2.52,12.13,0.00,0.00,-16.34,0,0,0,1,0,1,0,0
214064,8.09,5.05,3.30,541.88,7.21,-2.40,9.60,0.00,0.00,-16.29,0,0,0,1,0,1,0,0
214153,8.08,5.05,3.31,541.88,4.67,0.06,7.08,0.00,0.00,-16.23,0,0,0,1,0,1,0,0
214242,8.13,5.04,3.30,539.34,7.21,2.52,7.08,0.00,0.00,-16.21,0,0,0,1,0,1,0,0
214331,8.09,5.06,3.31,541.88,7.21,0.06,12.13,0.00,0.00,-16.18,0,0,0,1,0,1,0,0
214420,8.11,5.04,3.30,541.88,7.21,0.06,9.60,0.00,0.00,-16.13,0,0,0,1,0,1,0,0
214509,8.11,5.06,3.31,544.42,7.21,0.06,9.60,0.00,0.00,-16.10,0,0,0,1,0,1,0,0
214598,8.08,5.05,3.31,541.88,4.67,0.06,7.08,0.00,0.00,-16.07,0,0,0,1,0,1,0,0
214687,8.11,5.04,3.31,544.42,4.67,0.06,9.60,0.00,0.00,-16.06,0,0,0,1,0,1,0,0
214775,8.15,5.05,3.31,544.42,7.21,0.06,12.13,0.00,0.00,-16.01,0,0,0,1,0,1,0,0
214864,8.11,5.05,3.32,544.42,7.21,2.52,9.60,0.00,0.00,-15.98,0,0,0,1,0,1,0,0
214953,8.09,5.05,3.31,541.88,9.75,-2.40,-0.50,0.00,0.00,-15.95,0,0,0,1,0,1,0,0
215042,8.08,5.03,3.31,541.88,7.21,0.06,2.03,0.00,0.00,-15.92,0,0,0,1,0,1,0,0
215131,8.11,5.05,3.32,544.42,9.75,2.52,14.65,0.00,0.00,-15.90,0,0,0,1,0,1,0,0
215220,8.08,5.03,3.29,534.27,4.67,-2.40,2.03,0.00,0.00,-15.86,0,0,0,1,0,1,0,0
215309,8.09,5.05,3.31,541.88,4.67,0.06,7.08,0.00,0.00,-15.83,0,0,0,1,0,1,0,0
215398,8.09,5.04,3.30,546.95,7.21,0.06,19.70,0.00,0.00,-15.80,0,0,0,1,0,1,0,0
215487,8.08,5.05,3.31,541.88,4.67,0.06,4.55,0.00,0.00,-15.77,0,0,0,1,0,1,0,0
215576,8.13,5.06,3.30,544.42,4.67,0.06,4.55,0.00,0.00,-15.76,0,0,0,1,0,1,0,0
215664,8.11,5.06,3.31,544.42,9.75,2.52,17.18,0.00,0.00,-15.72,0,0,0,1,0,1,0,0
215753,8.09,5.06,3.31,544.42,4.67,0.06,7.08,0.00,0.00,-15.67,0,0,0,1,0,1,0,0
215842,8.11,5.05,3.31,541.88,4.67,0.06,-0.50,0.00,0.00,-15.67,0,0,0,1,0,1,0,0
215931,8.15,5.06,3.31,544.42,4.67,-2.40,2.03,0.00,0.00,-15.63,0,0,0,1,0,1,0,0
216020,8.09,5.05,3.31,541.88,4.67,0.06,4.55,0.00,0.00,-15.61,0,0,0,1,0,1,0,0
216109,8.11,5.06,3.31,541.88,7.21,-2.40,4.55,0.00,0.00,-15.59,0,0,0,1,0,1,0,0
216198,8.13,5.04,3.31,544.42,9.75,0.06,14.65,0.00,0.00,-15.55,0,0,0,1,0,1,0,0
216287,8.13,5.05,3.31,541.88,7.21,0.06,2.03,0.00,0.00,-15.53,0,0,0,1,0,1,0,0
216376,8.08,5.05,3.30,541.88,7.21,2.52,22.22,0.00,0.00,-15.52,0,0,0,1,0,1,0,0
216465,8.08,5.05,3.31,544.42,4.67,0.06,4.55,0.00,0.00,-15.49,0,0,0,1,0,0,0,0
217465,8.09,5.03,3.31,541.88,4.67,-2.40,2.03,0.00,0.00,-15.25,0,0,0,1,0,0,0,0
218466,8.15,5.06,3.32,541.88,7.21,-2.40,-3.02,0.00,0.00,-14.96,0,0,0,1,0,0,0,0
219467,8.15,5.06,3.31,544.42,7.21,2.52,14.65,0.00,0.00,-14.67,0,0,0,1,0,0,0,0
220468,8.08,5.05,3.31,544.42,7.21,-2.40,9.60,0.00,0.00,-14.31,0,0,0,1,0,0,0,0
221469,8.09,5.04,3.31,544.42,7.21,-2.40,19.70,0.00,0.00,-13.99,0,0,0,1,0,0,0,0
222470,8.08,5.06,3.32,544.42,7.21,-2.40,9.60,0.00,0.00,-13.64,0,0,0,1,0,0,0,0
223471,8.11,5.05,3.31,544.42,4.67,-4.87,-0.50,0.00,0.00,-13.31,0,0,0,1,0,0,0,0
224472,8.09,5.06,3.32,544.42,4.67,-2.40,-0.50,0.00,0.00,-12.93,0,0,0,1,0,0,0,0
225473,8.08,5.06,3.31,544.42,7.21,0.06,9.60,0.00,0.00,-12.56,0,0,0,1,0,0,0,0
226474,8.09,5.06,3.31,546.95,9.75,0.06,22.22,0.00,0.00,-12.26,0,0,0,1,0,0,0,0
227475,8.08,5.04,3.31,546.95,4.67,-2.40,4.55,0.00,0.00,-11.92,0,0,0,1,0,0,0,0
228476,8.11,5.06,3.32,544.42,4.67,0.06,-0.50,0.00,0.00,-11.59,0,0,0,1,0,0,0,0
229477,8.13,5.04,3.31,546.95,4.67,-2.40,2.03,0.00,0.00,-11.27,0,0,0,1,0,0,0,0
230478,8.08,5.06,3.31,546.95,7.21,-4.87,9.60,0.00,0.00,-10.95,0,0,0,1,0,0,0,0
231479,8.11,5.05,3.31,544.42,7.21,2.52,12.13,0.00,0.00,-10.58,0,0,0,1,0,0,0,0
232480,8.08,5.05,3.31,546.95,7.21,-2.40,4.55,0.00,0.00,-10.13,0,0,0,1,0,0,0,0
233481,8.08,5.06,3.31,546.95,7.21,-2.40,9.60,0.00,0.00,-9.76,0,0,0,1,0,0,0,0
234482,8.08,5.06,3.32,546.95,4.67,-2.40,4.55,0.00,0.00,-9.76,0,0,0,1,0,0,0,0
235483,8.08,5.06,3.32,546.95,4.67,-2.40,-0.50,0.00,0.00,-9.39,0,0,0,1,0,0,0,0
236484,8.13,5.06,3.31,549.49,7.21,2.52,24.75,0.00,0.00,-8.98,0,0,0,1,0,0,0,0
237485,8.06,5.05,3.31,546.95,4.67,-2.40,2.03,0.00,0.00,-8.51,0,0,0,1,0,0,0,0
238486,8.13,5.05,3.31,546.95,4.67,-2.40,2.03,0.00,0.00,-8.13,0,0,0,1,0,0,0,0
239487,8.13,5.06,3.31,546.95,4.67,-2.40,-3.02,0.00,0.00,-7.79,0,0,0,1,0,0,0,0
240488,8.11,5.05,3.31,546.95,4.67,-2.40,12.13,0.00,0.00,-7.48,0,0,0,1,0,0,0,0
241489,8.09,5.07,3.31,549.49,9.75,-2.40,14.65,0.00,0.00,-7.22,0,0,0,1,0,0,0,0
242490,8.11,5.04,3.31,549.49,4.67,0.06,19.70,0.00,0.00,-6.37,0,0,0,1,0,0,0,0
243491,8.11,5.05,3.31,552.03,4.67,-4.87,4.55,0.00,0.00,-7.09,0,0,0,1,0,0,0,0
244492,8.15,5.06,3.31,552.03,4.67,0.06,14.65,0.00,0.00,-6.24,0,0,0,1,0,0,0,0
245493,8.08,5.05,3.31,549.49,4.67,-2.40,-3.02,0.00,0.00,-5.96,0,0,0,1,0,0,0,0
246494,8.13,5.06,3.31,554.57,4.67,0.06,19.70,0.00,0.00,-5.76,0,0,0,1,0,0,0,0
247495,8.09,5.06,3.31,554.57,4.67,-2.40,4.55,0.00,0.00,-5.41,0,0,0,1,0,0,0,0
248496,8.13,5.06,3.31,554.57,4.67,0.06,22.22,0.00,0.00,-5.35,0,0,0,1,0,0,0,0
249497,8.11,5.06,3.31,554.57,4.67,0.06,22.22,0.00,0.00,-5.23,0,0,0,1,0,0,0,0
250498,8.11,5.06,3.31,559.64,4.67,0.06,24.75,0.00,0.00,-5.14,0,0,0,1,0,0,0,0
251499,8.13,5.06,3.31,557.10,4.67,0.06,22.22,0.00,0.00,-4.87,0,0,0,1,0,0,0,0
252500,8.08,5.06,3.31,557.10,7.21,-2.40,9.60,0.00,0.00,-4.62,0,0,0,1,0,0,0,0
253501,8.09,5.04,3.31,557.10,7.21,0.06,19.70,0.00,0.00,-5.16,0,0,0,1,0,0,0,0
254502,8.09,5.06,3.32,554.57,7.21,-2.40,9.60,0.00,0.00,-4.35,0,0,0,1,0,0,0,0
255503,8.08,5.05,3.31,557.10,7.21,0.06,12.13,0.00,0.00,-4.18,0,0,0,1,0,0,0,0
256504,8.09,5.05,3.31,559.64,2.13,-2.40,7.08,0.00,0.00,-3.93,0,0,0,1,0,0,0,0
257505,8.09,5.04,3.31,562.18,2.13,0.06,19.70,0.00,0.00,-3.63,0,0,0,1,0,0,0,0
